"track_name","artist.s._name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","danceability_.","valence_.","energy_.","acousticness_.","instrumentalness_.","liveness_.","speechiness_.","multiple_artist","top100","rank","Major","Minor","CSharp","FSharp","D","ASharp","GSharp","G","B","A","E","DSharp","F","taylor_swift","bad_bunny","the_weeknd","drake","peso_pluma"
"The Motto","tiï¿½ï¿½sto, ava",2,2021,11,4,9151,6,656013912,240,107,268,0,5,118,75,46,76,3,0,9,4,1,0,"Top 500",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Superman","eminem, dina rae",2,2002,5,26,7615,14,655466831,18,51,NA,0,0,130,80,64,76,2,0,20,6,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sunroof","nicky youre, dazy",2,2021,12,3,3741,17,652704649,156,35,110,19,0,131,77,84,71,35,0,15,4,1,0,"Top 500",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leave Before You Love Me (with Jonas Brothers)","marshmello, jonas brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70,120,72,67,72,0,0,13,4,1,0,"Top 500",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"After Dark","mr.kitty",1,2014,8,8,1776,14,646886885,1,9,3,0,0,140,58,4,60,7,41,8,3,0,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Here With Me","d4vd",1,2022,7,17,3246,23,635412045,94,85,68,1,84,132,58,27,48,50,0,12,3,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Mistletoe","justin bieber",1,2011,1,1,9577,0,629173063,195,111,310,0,0,162,67,88,54,51,0,9,4,0,0,"Top 500",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2055","sleepy hallow",1,2021,4,14,2226,0,624515457,29,0,44,0,0,161,78,65,52,46,0,12,31,0,0,"Top 500",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sparks","coldplay",1,2000,7,10,10826,4,624101957,24,0,805,0,0,103,37,17,27,75,5,10,3,0,0,"Top 500",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enchanted","taylor swift",1,2010,1,1,4564,16,621660989,24,101,113,0,40,164,45,24,62,8,0,16,3,0,0,"Top 500",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"TQG","karol g, shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180,72,61,63,67,0,9,28,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Jimmy Cooks (feat. 21 Savage)","drake, 21 savage",2,2022,6,17,5871,27,618885532,81,121,58,1,34,163,54,40,67,0,0,9,17,1,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Party","bad bunny, rauw alejandro",2,2022,5,6,3185,4,614555082,38,64,37,3,36,97,83,47,80,2,0,24,9,1,0,"Top 500",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Moth To A Flame (with The Weeknd)","the weeknd, swedish house mafia",2,2021,10,22,7495,17,611994237,114,172,284,2,NA,120,56,16,67,0,0,11,4,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Stargirl Interlude","the weeknd, lana del rey",2,2016,11,24,1275,32,611700552,13,8,5,0,1,90,59,52,48,38,5,10,11,1,0,"Top 500",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Volando - Remix","sech, bad bunny, mora",3,2021,7,8,3272,19,610045621,101,34,70,1,2,154,66,63,69,21,0,11,7,1,0,"Top 500",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"I Like You (A Happier Song) (with Doja Cat)","post malone, doja cat",2,2022,6,3,5281,14,609293408,94,21,80,15,38,101,74,43,69,12,0,12,7,1,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Permission to Dance","bts",1,2021,7,9,1801,2,608334048,77,134,74,0,2,125,70,65,74,1,0,34,4,0,0,"Top 500",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tarot","bad bunny, jhay cortez",2,2022,5,6,2482,20,608228647,27,77,22,2,0,114,80,42,68,2,0,66,4,1,0,"Top 500",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"august","taylor swift",1,2020,7,24,7324,22,607123776,25,81,61,1,44,90,51,42,61,53,0,9,3,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Te Felicito","shakira, rauw alejandro",2,2022,4,21,4796,9,606361689,124,66,212,13,1,174,70,57,64,23,0,8,32,1,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Feliz Cumpleaï¿½ï¿½os Fe","feid",1,2022,8,19,3430,38,601863821,45,69,52,4,3,95,87,57,55,10,0,29,7,0,0,"Top 500",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Until I Found You (with Em Beihold) - Em Beihold Version","em beihold, stephen sanchez",2,2022,4,22,2790,30,600976848,60,96,71,0,115,101,34,32,57,78,0,20,3,1,0,"Top 500",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
